File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:31:10 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
---------------------------------------------------------,,,,
-0.54,-0.15,-0.47,37,0.757
0.24,-1,-0.39,37,0.729
0.22,-1.19,-0.24,37,0.709
0.16,-0.89,-0.31,37,0.707
0.16,-0.94,0.05,37,0.711
0.21,-0.94,-0.18,37,0.716
0.23,-0.9,-0.22,37,0.711
0.14,-0.88,-0.21,37,0.711
0.13,-0.78,-0.2,37,0.719
0.15,-0.81,-0.28,37,0.727
0.19,-0.86,-0.3,37,0.737
0.16,-0.88,-0.27,37,0.742
0.06,-0.77,-0.37,37,0.737
0.2,-0.79,-0.28,37,0.737
0.21,-0.83,-0.38,37,0.734
0.09,-0.69,-0.45,37,0.719
0.11,-0.57,-0.5,37,0.711
0.18,-0.59,-0.48,37,0.707
0.12,-0.58,-0.52,37,0.707
0.12,-0.59,-0.53,37,0.704
0.22,-0.51,-0.77,37,0.704
0.26,-0.31,-0.75,37,0.653
0.26,-0.5,-0.71,37,0.653
0.22,-0.34,-0.68,37,0.621
0.25,-0.25,-0.74,37,0.606
0.26,-0.36,-0.73,37,0.655
0.2,-0.17,-0.79,37,0.677
0.17,-0.53,-0.63,37,0.689
0.28,-0.51,-0.7,37,0.686
0.25,-0.54,-0.74,37,0.657
0.21,-0.32,-0.73,37,0.643
0.2,-0.34,-0.68,37,0.638
0.06,-0.29,-0.74,37,0.638
0.26,-0.44,-0.69,37,0.631
0.19,-0.28,-0.75,37,0.631
0.17,-0.39,-0.73,37,0.645
0.16,-0.43,-0.69,37,0.663
0.17,-0.4,-0.7,37,0.682
0.07,-0.3,-0.73,37,0.689
0.16,-0.44,-0.64,37,0.689
0.08,-0.3,-0.68,37,0.682
0.2,-0.35,-0.72,37,0.674
0.13,-0.32,-0.73,37,0.672
0.1,-0.34,-0.8,37,0.667
0.09,-0.32,-0.86,37,0.667
0.11,-0.35,-0.7,37,0.674
0.08,-0.21,-0.69,37,0.667
0.11,-0.22,-0.74,37,0.664
0.11,-0.22,-0.77,37,0.66
0.09,-0.21,-0.79,37,0.653
0.09,-0.19,-0.81,37,0.65
0.1,-0.19,-0.81,37,0.65
0.11,-0.2,-0.8,37,0.643
0.12,-0.22,-0.81,37,0.643
0.12,-0.18,-0.81,37,0.643
0.1,-0.2,-0.8,37,0.629
0.09,-0.2,-0.77,37,0.621
0.1,-0.2,-0.8,37,0.617
0.09,-0.22,-0.78,37,0.61
0.1,-0.2,-0.73,37,0.608
0.11,-0.27,-0.77,37,0.601
0.12,-0.25,-0.8,37,0.596
0.12,-0.24,-0.8,37,0.596
0.13,-0.19,-0.81,37,0.596
0.13,-0.22,-0.81,37,0.596
0.12,-0.19,-0.82,37,0.589
0.12,-0.16,-0.79,37,0.589
0.16,-0.14,-0.77,37,0.585
0.18,-0.16,-0.77,37,0.583
0.12,-0.14,-0.78,37,0.58
0.13,-0.14,-0.78,37,0.58
0.12,-0.12,-0.82,37,0.573
0.09,-0.04,-0.86,37,0.569
0.08,-0.02,-0.86,36.8,0.569
0.09,-0.02,-0.85,36.8,0.569
0.11,-0.01,-0.82,37,0.569
0.11,-0.01,-0.82,37,0.569
0.13,-0.03,-0.8,37,0.569
0.12,-0.03,-0.8,37,0.569
0.13,-0.03,-0.83,37,0.565
0.12,-0.03,-0.83,37,0.566
0.12,-0.04,-0.83,37,0.569
0.12,0,-0.82,37,0.566
0.11,-0.02,-0.81,37,0.566
0.1,-0.02,-0.81,37,0.569
0.09,-0.03,-0.82,37,0.565
0.08,-0.02,-0.83,37,0.565
0.09,0,-0.81,36.8,0.565
0.08,-0.03,-0.8,36.8,0.562
0.09,-0.03,-0.82,37,0.562
0.1,-0.02,-0.82,37,0.562
0.09,-0.03,-0.81,37,0.562
0.1,-0.06,-0.79,36.8,0.562
0.08,-0.07,-0.79,36.8,0.562
0.1,-0.05,-0.79,36.8,0.562
0.11,-0.03,-0.8,36.8,0.562
0.12,-0.04,-0.83,36.8,0.562
0.13,-0.04,-0.82,37,0.562
0.14,-0.04,-0.82,37,0.562
0.14,-0.04,-0.81,36.8,0.562
0.14,-0.03,-0.8,37,0.562
0.16,-0.03,-0.82,37,0.562
0.15,-0.09,-0.82,37,0.562
0.14,-0.14,-0.91,36.8,0.566
0.01,-0.35,-0.92,37,0.553
-0.03,-0.3,-0.88,36.8,0.549
0.04,-0.47,-0.76,37,0.549
0.05,-0.4,-0.75,37,0.549
0.05,-0.51,-0.65,36.8,0.549
0.16,-0.92,-0.38,36.8,0.556
0.18,-0.69,-0.43,36.8,0.574
0.19,-0.64,-0.38,37,0.596
0.11,-0.61,-0.53,36.8,0.611
0.06,-0.64,-0.54,36.8,0.617
0.01,-0.61,-0.49,36.8,0.621
0.09,-0.57,-0.6,37,0.61
0.28,-0.07,-0.77,36.8,0.594
0.46,-0.39,-0.35,36.8,0.573
0.46,-0.66,0,37,0.583
0.33,-0.78,0.38,36.8,0.617
0.47,-1.08,0.35,36.8,0.655
0.7,-1,0.14,37,0.674
0.74,-1.16,0.56,37,0.682
0.74,-0.82,0.37,36.8,0.687
0.66,-0.84,0.39,36.8,0.687
0.7,-0.84,0.4,36.8,0.689
0.69,-0.74,0.26,36.8,0.687
0.83,-0.76,0.07,36.8,0.689
0.98,-0.6,0,36.8,0.687
1,-0.4,-0.23,36.8,0.679
0.92,-0.27,-0.61,36.8,0.653
0.84,-0.62,-0.62,36.8,0.616
0.58,-0.73,-0.47,36.8,0.589
0.43,-0.74,-0.3,36.8,0.574
0.22,-0.61,-0.17,36.8,0.568
0.11,-0.54,-0.18,36.8,0.56
0.1,-0.41,-0.19,36.8,0.558
0.11,-0.39,-0.21,36.8,0.591
0.16,-0.63,0,36.8,0.634
0.24,-0.51,-0.27,36.8,0.667
0.35,-0.69,-0.27,36.8,0.687
0.48,-0.45,-0.39,36.8,0.692
0.59,-0.28,-0.45,36.8,0.694
0.81,-0.53,-0.26,36.8,0.694
0.93,-0.6,0.06,36.8,0.696
1.21,-0.78,0.39,36.8,0.709
1.27,-0.67,0.52,36.8,0.716
1.16,-0.27,0.31,36.8,0.719
1.03,-0.48,0.5,36.8,0.727
1.08,-0.54,0.56,36.8,0.732
1.2,-0.65,0.51,36.8,0.737
1.17,-0.69,0.5,36.8,0.742
