File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:31:10 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
---------------------------------------------------------,,,,
1.51,-1.48,0.48,32.4,0.948
1.3,-1.51,-0.03,32.4,0.948
1.04,-0.58,-0.13,32.6,0.951
0.64,-1.21,-0.12,32.4,0.957
0.5,-0.8,-0.04,32.4,0.954
0.67,-0.47,-0.03,32.4,0.957
0.52,-0.5,1,32.4,0.966
0.25,0.07,0.67,32.4,0.957
0.3,0.04,0.54,32.4,0.957
0.7,-1.32,0.1,32.4,0.957
0.93,-1.3,0.24,32.6,0.957
0.96,-0.01,0.34,32.4,0.972
0.82,-0.07,0,32.4,0.975
1.48,-0.33,-0.18,32.4,0.984
1.31,0.33,0.98,32.4,0.984
1.14,-1.43,0.5,32.4,0.984
0.94,-0.76,0.19,32.4,0.975
0.64,-0.7,0.01,32.4,0.963
0.37,-0.43,-0.26,32.4,0.963
0.46,-0.58,0.09,32.4,0.957
0.52,-0.56,-0.14,32.4,0.963
0.69,-0.43,0.01,32.4,0.984
1.16,-0.54,1.33,32.4,0.993
1.5,-0.25,0.41,32.4,0.984
0.96,-0.36,0.42,32.4,0.984
0.72,-0.5,0.45,32.4,0.993
0.65,-0.59,0.47,32.4,0.993
0.7,-0.43,0.41,32.4,0.993
0.88,-0.58,0.38,32.4,0.987
0.84,-0.49,0.44,32.4,0.987
0.77,-0.43,0.37,32.4,0.987
0.79,-0.38,0.3,32.4,0.987
0.8,-0.4,0.32,32.4,0.993
0.8,-0.45,0.36,32.4,0.987
0.85,-0.5,0.37,32.4,0.987
0.81,-0.4,0.39,32.4,0.993
0.83,-0.41,0.4,32.4,0.993
0.83,-0.53,0.42,32.4,0.993
0.82,-0.45,0.36,32.4,0.993
0.75,-0.54,0.47,32.6,0.993
0.79,-0.54,0.45,32.4,0.993
0.8,-0.5,0.49,32.6,0.996
0.79,-0.53,0.6,32.4,1.006
0.9,-1.06,1.05,32.4,1.002
0.79,-0.63,0.55,32.4,0.993
0.76,-0.93,1.22,32.4,1.008
0.55,-0.94,0.75,32.4,1.012
0.11,-0.61,0.2,32.4,0.993
-0.01,-0.6,0.85,32.4,0.993
-0.12,-0.76,0.54,32.6,0.984
-0.31,-0.49,0.46,32.4,0.981
-0.44,-0.52,0.52,32.4,0.975
-0.51,-0.59,0.54,32.4,0.975
-0.62,-1.02,0.79,32.4,0.978
-0.61,0.23,-0.17,32.4,0.984
-0.67,-0.73,0.77,32.4,0.984
-0.59,-0.94,0.81,32.4,0.984
-0.5,-0.64,0.28,32.4,0.984
-0.41,-1.13,0.39,32.4,0.984
-0.43,-1.11,0.24,32.6,0.984
-0.49,-0.91,0.11,32.4,0.984
-0.46,-0.98,0.32,32.4,0.984
-0.6,-1,0.5,32.4,0.984
-0.62,-0.78,0.17,32.4,0.984
-0.54,-0.93,0.04,32.4,0.987
-0.5,-1.04,0.04,32.4,0.987
-0.43,-0.84,0,32.4,0.984
-0.47,-0.99,0.04,32.4,0.975
-0.47,-0.89,-0.04,32.4,0.963
