File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 14:01:27 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
---------------------------------------------------------,,,,
-1,0.35,0.27,31.2,0.757
-1,0.36,0.28,31.2,0.752
-1,0.34,0.28,31.2,0.752
-0.98,0.35,0.29,31.2,0.752
-0.98,0.35,0.32,31.2,0.749
-0.99,0.38,0.28,31.2,0.749
-0.97,0.4,0.26,31.2,0.749
-0.98,0.4,0.25,31.2,0.749
-0.99,0.4,0.25,31.2,0.749
-0.98,0.42,0.26,31.2,0.741
-0.98,0.4,0.27,31.2,0.741
-0.99,0.41,0.27,31.2,0.749
-0.99,0.39,0.27,31.2,0.744
-0.99,0.39,0.27,31.2,0.744
-0.99,0.37,0.26,31.2,0.746
-1,0.37,0.28,31.2,0.741
-0.99,0.37,0.28,31.2,0.741
-0.99,0.39,0.27,31.2,0.741
-0.99,0.39,0.26,31.2,0.741
-0.99,0.39,0.26,31.2,0.741
-0.99,0.39,0.27,31.2,0.741
-0.99,0.4,0.27,31.2,0.741
-0.99,0.38,0.27,31.2,0.749
-0.99,0.38,0.27,31.2,0.746
-1,0.37,0.26,31.2,0.749
-1,0.37,0.26,31.2,0.749
-0.99,0.39,0.27,31.2,0.749
-0.99,0.39,0.27,31.2,0.749
-0.99,0.39,0.27,31.2,0.749
-0.98,0.39,0.27,31.2,0.757
-0.99,0.4,0.27,31.2,0.757
-0.98,0.39,0.27,31.2,0.757
-0.98,0.39,0.27,31.2,0.757
-0.99,0.4,0.26,31.2,0.757
-1,0.38,0.27,31.2,0.759
-0.99,0.4,0.27,31.2,0.762
-0.99,0.39,0.28,31.2,0.762
-0.99,0.38,0.27,31.2,0.762
-0.98,0.38,0.28,31.2,0.762
-0.99,0.38,0.27,31.2,0.762
-0.99,0.38,0.28,31.2,0.762
-0.98,0.38,0.27,31.2,0.762
-0.99,0.38,0.27,31.2,0.762
-0.99,0.4,0.28,31.2,0.762
-1,0.39,0.27,31.2,0.762
-0.98,0.39,0.27,31.2,0.762
-0.99,0.4,0.26,31.2,0.762
-0.99,0.39,0.27,31.2,0.759
-0.98,0.39,0.26,31.2,0.762
-0.99,0.39,0.27,31.2,0.762
-0.99,0.39,0.28,31.2,0.762
-0.98,0.39,0.27,31.2,0.762
-0.99,0.39,0.27,31.2,0.762
-0.99,0.39,0.27,31.2,0.762
-0.98,0.39,0.27,31.2,0.762
-0.99,0.38,0.27,31.2,0.759
-0.99,0.39,0.27,31.2,0.762
-0.99,0.38,0.28,31.2,0.762
