File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 14:01:27 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
---------------------------------------------------------,,,,
0.86,-0.12,0.68,31.6,2.652
0.86,-0.1,0.57,31.6,2.669
0.82,-0.15,0.63,31.6,2.669
0.83,-0.06,0.55,31.6,2.669
0.86,-0.02,0.63,31.6,2.669
0.83,-0.05,0.66,31.6,2.669
0.84,-0.03,0.59,31.6,2.669
0.86,-0.07,0.58,31.6,2.669
0.88,-0.01,0.67,31.6,2.665
0.85,0,0.62,31.6,2.652
0.89,0,0.57,31.6,2.647
0.89,0.01,0.6,31.6,2.665
0.85,0,0.59,31.6,2.652
0.86,0.04,0.57,31.6,2.652
0.86,0,0.56,31.6,2.647
0.86,0.05,0.54,31.6,2.647
0.86,0.02,0.51,31.6,2.647
0.91,0.04,0.6,31.6,2.647
0.93,0.04,0.52,31.6,2.647
0.93,0.07,0.55,31.6,2.647
0.91,0.13,0.5,31.6,2.647
0.91,0.11,0.51,31.6,2.647
0.9,0.12,0.48,31.6,2.647
0.91,0.09,0.51,31.6,2.647
0.91,0.1,0.52,31.6,2.647
0.91,0.08,0.5,31.6,2.647
0.9,0.08,0.5,31.6,2.647
0.9,0.09,0.5,31.6,2.647
0.9,0.12,0.5,31.6,2.66
0.92,0.11,0.52,31.6,2.647
0.9,0.11,0.51,31.6,2.647
0.91,0.09,0.52,31.6,2.647
0.95,0.11,0.55,31.6,2.647
1.05,0.12,0.63,31.6,2.647
1.05,0.12,0.53,31.6,2.63
0.94,0.01,0.53,31.6,2.647
0.88,-0.05,0.59,31.6,2.647
0.81,-0.12,0.73,31.6,2.647
0.69,-0.2,0.74,31.6,2.647
0.65,-0.23,0.72,31.6,2.63
0.56,-0.29,0.78,31.6,2.63
0.42,-0.32,0.91,31.6,2.63
0.5,-0.24,1,31.6,2.63
0.53,-0.33,1.07,31.6,2.63
0.51,-0.17,0.9,31.6,2.63
0.53,-0.41,0.99,31.6,2.63
0.36,-0.65,0.91,31.6,2.63
0.39,-0.45,1.17,31.6,2.63
0.31,-0.49,0.91,31.6,2.647
0.27,-0.53,0.88,31.6,2.63
0.29,-0.55,0.95,31.6,2.647
0.18,-0.64,0.87,31.6,2.647
0.08,-0.72,0.68,31.6,2.647
0.12,-0.65,0.92,31.6,2.63
0.17,-0.76,0.87,31.6,2.63
0.14,-0.69,0.77,31.6,2.63
0.12,-0.76,0.98,31.6,2.63
0.1,-0.75,0.79,31.6,2.625
0.07,-0.63,0.9,31.6,2.608
0.05,-0.65,0.87,31.6,2.603
0.12,-0.68,0.96,31.6,2.603
0.18,-0.77,0.99,31.6,2.603
0.19,-0.65,0.9,31.6,2.603
0.14,-0.6,1.01,31.6,2.586
0.25,-0.66,0.94,31.6,2.586
0.22,-0.61,1,31.6,2.586
0.25,-0.53,0.91,31.6,2.586
0.29,-0.65,1,31.6,2.586
0.33,-0.52,0.93,31.6,2.586
0.31,-0.59,0.98,31.6,2.586
0.32,-0.56,0.98,31.6,2.586
0.31,-0.56,0.99,31.6,2.603
0.3,-0.57,0.96,31.6,2.586
0.26,-0.58,0.92,31.6,2.586
0.27,-0.63,0.97,31.6,2.586
0.26,-0.59,0.94,31.6,2.586
0.28,-0.57,0.95,31.6,2.603
0.27,-0.61,0.92,31.6,2.608
0.26,-0.63,0.95,31.6,2.603
0.26,-0.62,0.96,31.6,2.608
0.29,-0.63,0.9,31.6,2.608
0.28,-0.63,0.92,31.6,2.608
0.24,-0.6,0.91,31.6,2.608
0.21,-0.65,0.93,31.6,2.63
0.27,-0.64,0.94,31.6,2.63
0.24,-0.62,0.91,31.6,2.63
0.23,-0.64,0.91,31.6,2.63
0.23,-0.66,0.9,31.6,2.647
0.27,-0.68,0.93,31.6,2.669
0.22,-0.67,0.86,31.6,2.669
0.29,-0.44,0.91,31.6,2.674
0.28,-0.65,0.88,31.6,2.674
0.25,-0.61,0.89,31.6,2.692
0.31,-0.5,0.87,31.6,2.674
0.36,-0.5,0.84,31.6,2.674
0.46,-0.55,0.82,31.6,2.674
0.51,-0.5,0.8,31.6,2.669
0.55,-0.45,0.94,31.6,2.63
0.7,-0.3,0.5,31.6,2.603
0.72,-0.39,0.94,31.6,2.582
0.7,-0.05,0.99,31.6,2.502
0.67,-0.17,0.82,31.6,2.461
0.84,-0.11,0.57,31.6,2.461
0.91,0.11,0.73,31.6,2.461
0.8,0.42,0.55,31.6,2.502
0.88,0.52,0.56,31.6,2.497
0.77,0.47,0.76,31.6,2.477
0.7,0.57,0.71,31.6,2.461
0.69,0.47,0.84,31.6,2.477
0.62,0.57,0.68,31.6,2.488
0.59,0.5,0.73,31.6,2.477
0.59,0.56,0.84,31.6,2.477
0.56,0.59,0.81,31.6,2.461
0.58,0.54,0.81,31.6,2.461
0.6,0.61,0.74,31.6,2.456
0.57,0.53,0.74,31.6,2.472
0.56,0.62,0.77,31.6,2.477
0.56,0.56,0.77,31.6,2.461
0.57,0.62,0.77,31.6,2.477
0.56,0.56,0.74,31.6,2.477
0.57,0.58,0.76,31.6,2.477
0.56,0.62,0.71,31.6,2.477
0.53,0.6,0.76,31.8,2.461
0.54,0.56,0.78,31.8,2.465
0.55,0.59,0.77,32,2.477
0.54,0.59,0.76,32,2.477
0.52,0.6,0.76,32,2.477
0.52,0.6,0.78,32,2.477
0.53,0.59,0.78,31.8,2.477
0.53,0.51,0.78,31.8,2.481
0.52,0.61,0.76,31.8,2.497
0.5,0.58,0.77,31.8,2.518
0.54,0.58,0.76,32,2.518
0.55,0.58,0.75,31.6,2.523
0.54,0.58,0.76,31.6,2.523
0.54,0.58,0.77,31.6,2.534
0.55,0.59,0.77,31.6,2.53
0.58,0.59,0.76,31.6,2.523
0.57,0.57,0.76,31.6,2.518
0.53,0.55,0.85,31.6,2.523
0.56,0.55,0.78,31.6,2.551
0.59,0.58,0.93,31.6,2.551
0.68,0.72,0.99,31.6,2.53
0.72,0.49,0.99,31.6,2.502
0.86,0.4,0.9,31.6,2.502
0.89,0.24,0.67,31.6,2.493
0.8,0.05,0.5,31.6,2.493
0.78,-0.29,0.76,31.6,2.534
0.73,-0.13,0.64,31.6,2.556
0.59,-0.27,0.65,31.6,2.565
0.47,-0.37,0.74,31.6,2.594
0.41,-0.25,0.9,31.6,2.582
0.48,-0.28,0.88,31.6,2.582
0.53,-0.35,0.84,31.6,2.594
0.61,-0.34,1,31.6,2.582
0.64,-0.31,0.98,31.6,2.603
0.54,-0.22,0.91,31.6,2.586
0.5,-0.31,0.87,31.6,2.586
0.56,-0.3,0.99,31.6,2.582
0.57,-0.28,0.93,31.6,2.599
0.58,-0.35,0.89,31.6,2.603
0.49,-0.21,0.88,31.6,2.586
0.55,-0.32,1.01,31.6,2.594
0.55,-0.35,0.96,31.6,2.582
0.56,-0.32,0.91,31.6,2.582
0.53,-0.35,0.9,31.6,2.594
0.5,-0.3,0.99,31.6,2.582
0.48,-0.34,0.94,31.6,2.586
0.5,-0.28,0.95,31.6,2.586
0.48,-0.29,0.89,31.6,2.603
0.41,-0.48,0.94,31.6,2.603
0.58,-0.25,1,31.6,2.603
0.63,-0.27,0.97,31.6,2.586
0.65,-0.25,0.94,31.6,2.586
0.59,-0.39,0.99,31.6,2.586
0.64,-0.18,0.95,31.6,2.586
0.6,-0.22,0.96,31.6,2.586
0.59,-0.25,0.93,31.6,2.586
0.58,-0.18,0.87,31.6,2.586
0.52,-0.29,0.97,31.6,2.586
0.5,-0.29,0.98,31.6,2.586
0.56,-0.22,1.01,31.6,2.582
0.59,-0.27,1,31.6,2.582
0.68,-0.22,0.81,31.6,2.582
0.77,-0.06,0.61,31.8,2.582
0.77,-0.25,0.74,31.6,2.582
0.76,-0.21,0.86,31.6,2.582
0.72,-0.19,0.83,31.6,2.582
0.69,-0.2,0.84,31.6,2.582
0.74,-0.24,0.83,31.6,2.582
0.71,-0.18,0.82,31.6,2.582
0.69,-0.22,0.8,31.6,2.565
0.73,-0.15,0.81,31.6,2.577
0.7,-0.19,0.8,31.6,2.565
0.71,-0.14,0.8,31.6,2.565
0.74,-0.12,0.75,31.6,2.565
0.73,-0.14,0.77,31.6,2.577
0.77,-0.12,0.79,31.6,2.565
0.73,-0.17,0.78,31.6,2.565
0.74,-0.13,0.76,31.6,2.565
0.75,-0.13,0.74,31.6,2.582
0.76,-0.14,0.8,31.6,2.582
0.76,-0.11,0.79,31.6,2.582
0.74,-0.17,0.76,31.6,2.565
0.75,-0.15,0.78,31.6,2.582
0.75,-0.13,0.84,31.6,2.582
0.75,-0.13,0.81,31.6,2.582
0.72,-0.14,0.76,31.6,2.582
0.73,-0.13,0.77,31.6,2.586
0.75,-0.21,0.86,31.6,2.586
0.72,-0.15,0.79,31.6,2.599
0.7,-0.18,0.78,31.6,2.603
0.7,-0.16,0.82,31.6,2.62
0.72,-0.25,0.67,31.6,2.608
0.76,-0.32,1.07,31.6,2.608
0.65,0.03,0.45,31.6,2.603
0.61,-0.44,0.84,31.6,2.608
0.65,-0.5,0.84,31.6,2.608
0.66,-0.12,0.8,31.6,2.608
0.66,-0.4,1.03,31.6,2.62
0.64,-0.06,0.75,31.6,2.608
0.66,-0.24,0.99,31.6,2.608
0.6,-0.17,1.04,31.6,2.608
0.66,0,0.83,31.6,2.586
0.67,-0.07,1.12,31.6,2.603
0.7,0,0.84,31.6,2.608
0.71,-0.22,0.8,31.6,2.63
0.56,0.12,0.5,31.6,2.642
0.57,0,0.52,31.6,2.63
0.53,0.5,0.2,31.6,2.642
0.18,1.02,0.17,31.6,2.625
0.03,1.19,0.4,31.6,2.62
