File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:46:20 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
---------------------------------------------------------,,,,
-0.48,-0.83,0.57,31.8,0.767
-0.52,-0.83,0.54,31.8,0.762
-0.53,-0.82,0.54,31.8,0.762
-0.52,-0.82,0.55,31.8,0.767
-0.52,-0.83,0.55,31.8,0.767
-0.52,-0.83,0.56,31.8,0.767
-0.55,-0.81,0.52,31.8,0.762
-0.54,-0.81,0.54,31.8,0.767
-0.52,-0.83,0.57,31.8,0.762
-0.53,-0.82,0.55,31.8,0.767
-0.54,-0.82,0.55,31.8,0.767
-0.55,-0.81,0.54,31.8,0.767
-0.54,-0.82,0.56,31.8,0.767
-0.54,-0.82,0.55,31.8,0.77
-0.55,-0.82,0.53,31.8,0.77
-0.54,-0.82,0.55,31.8,0.775
-0.55,-0.81,0.55,31.8,0.784
-0.53,-0.82,0.56,31.8,0.786
-0.56,-0.8,0.53,31.8,0.794
-0.53,-0.84,0.58,31.8,0.799
-0.53,-0.79,0.51,31.8,0.802
-0.52,-0.83,0.55,31.8,0.81
-0.54,-0.81,0.53,31.8,0.81
-0.53,-0.81,0.54,31.8,0.816
-0.53,-0.83,0.56,31.8,0.818
-0.56,-0.82,0.57,31.8,0.826
-0.57,-0.8,0.52,31.8,0.831
-0.54,-0.82,0.55,31.8,0.834
-0.51,-0.82,0.55,31.8,0.843
-0.55,-0.83,0.53,31.8,0.848
-0.52,-0.81,0.55,31.8,0.851
-0.55,-0.82,0.53,31.8,0.856
-0.55,-0.83,0.53,31.8,0.859
-0.54,-0.8,0.55,31.8,0.868
-0.56,-0.82,0.54,31.8,0.873
-0.53,-0.82,0.55,31.8,0.873
-0.55,-0.82,0.55,31.8,0.882
-0.56,-0.82,0.54,31.8,0.882
-0.54,-0.81,0.56,31.8,0.884
-0.54,-0.81,0.54,31.8,0.884
-0.54,-0.82,0.54,31.8,0.89
-0.54,-0.81,0.54,31.8,0.89
-0.54,-0.83,0.54,31.8,0.89
-0.54,-0.81,0.55,31.8,0.893
-0.54,-0.82,0.55,31.8,0.893
-0.55,-0.81,0.54,31.8,0.896
