File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:02:49 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
---------------------------------------------------------,,,,
0,-1.01,0.26,23.1,0
0,-1.03,0.17,23.1,0
-0.01,-1.03,0.17,23.1,0
0.01,-0.96,0.22,23.1,0
0.03,-0.9,0.3,23.1,0
0,-0.94,0.25,23.1,0
0.08,-0.97,0.22,23.1,0
-0.19,-1.05,0.19,23.1,0
0.13,-1,0.18,23.1,0
-0.45,-1.18,0.23,23.1,0
-0.11,-1.06,0.28,23.1,0
-0.29,-1.02,0.18,23.1,0
-0.05,-0.85,0.35,23.1,0
-0.14,-0.95,0.28,23.1,0
-0.3,-1.01,0.21,23.1,0
-0.18,-0.98,0.18,23.1,0
-0.31,-1.05,0.29,23.1,0
-0.26,-0.99,0.16,23.1,0
-0.24,-0.97,0.26,23.1,0
-0.21,-1.03,0.11,23.1,0
-0.41,-1.15,0.05,23.1,0
-0.37,-1.11,0.19,23.1,0
-0.47,-1.07,0.18,23.1,0
-0.7,-1.06,0.04,23.1,0
-0.8,-0.84,0.03,23.1,0
-0.78,-0.57,0.13,23.1,0
-0.77,-0.42,0,23.1,0
-0.97,-0.27,0.04,23.1,0
-0.83,0.27,-0.38,23.1,0
-0.91,0.27,-0.06,23.1,0
-0.27,0.95,-0.49,23.1,0
-0.25,0.69,0.17,23.1,0
-0.01,1.15,-0.13,23.1,0
-0.02,0.98,0.1,23.3,0
-0.2,0.97,0.17,23.1,0
0,1.14,0.1,23.1,0
-0.11,0.97,0.44,23.1,0
-0.12,1.02,0.46,23.1,0
-0.11,0.89,0.45,23.3,0
-0.34,0.8,0.32,23.3,0
-0.25,0.91,0.18,23.1,0
-0.36,0.97,-0.05,23.1,0
-0.35,0.84,0.19,23.1,0
-0.3,0.97,-0.1,23.1,0
0.63,0.87,-0.11,23.1,0
1.49,0.91,-0.23,23.1,0
1.08,1.13,-0.29,23.1,0
-0.27,0.99,-0.04,23.3,0
-0.38,0.69,0.37,23.1,0
0.1,0.88,0.01,23.1,0
0.39,1.08,-0.12,23.1,0
0.11,1,-0.13,23.1,0
-0.15,0.91,-0.16,23.1,0
-0.03,0.87,-0.11,23.3,0
0.09,0.89,0,23.1,0
0.16,0.89,-0.09,23.1,0
0.06,0.91,-0.16,23.1,0
0.06,0.89,-0.27,23.3,0
0.15,0.93,-0.29,23.1,0
0.22,0.9,-0.16,23.3,0
0.29,0.9,-0.06,23.3,0
0.35,0.93,-0.2,23.1,0
0.29,0.97,-0.2,23.1,0
0.3,0.93,-0.23,23.1,0
0.18,0.8,-0.26,23.1,0
0.29,0.82,-0.33,23.1,0
0.23,0.78,-0.32,23.1,0
0.37,0.87,-0.4,23.1,0
0.16,0.83,-0.35,23.3,0
0.24,0.84,-0.4,23.1,0
0.13,0.89,-0.32,23.1,0
0.23,0.91,-0.32,23.3,0
0.12,0.89,-0.26,23.3,0
0.29,0.86,-0.28,23.1,0
0.16,0.89,-0.27,23.1,0
0.14,0.93,-0.2,23.1,0
0.11,0.94,-0.24,23.1,0
0.11,0.96,-0.21,23.1,0
-0.17,0.88,-0.12,23.3,0
-0.23,0.86,-0.05,23.1,0
-0.27,0.84,-0.01,23.3,0
-0.29,0.91,0.07,23.3,0
-0.37,0.95,0.3,23.1,0
-0.25,1.06,0.38,23.1,0
-0.14,1.07,0.29,23.3,0
-0.18,0.95,0.26,23.1,0
-0.17,0.95,0.23,23.3,0
-0.17,0.95,0.16,23.1,0
-0.28,1,-0.03,23.1,0
-0.29,0.95,-0.12,23.1,0
-0.38,0.9,-0.28,23.1,0
-0.47,0.85,-0.32,23.3,0
-0.53,0.7,-0.28,23.1,0
-0.49,0.81,-0.25,23.1,0
-0.53,0.75,-0.29,23.1,0
-0.45,0.76,-0.28,23.3,0
-0.47,0.67,-0.48,23.3,0
-0.7,0.57,-0.49,23.3,0
-0.84,0.37,-0.49,23.1,0
-0.98,0.3,-0.61,23.3,0
-0.99,0.52,-0.5,23.1,0
-0.65,0.78,-0.14,23.3,0
0,1.06,-0.35,23.3,0
-0.09,0.48,-1.05,23.1,0
0.02,0.47,-0.7,23.1,0
-0.62,0.1,0,23.1,0
-0.75,0.25,0.14,23.3,0
-1.19,0.4,-0.84,23.3,0
-0.69,1.16,-1.9,23.3,0
0.06,0.96,-0.46,23.3,0
-0.1,0.92,0.09,23.3,0
0.41,0.9,0.61,23.1,0
-0.07,0.38,-0.48,23.1,0
-0.67,-0.19,-0.59,23.3,0
-1.22,-0.3,-0.77,23.1,0
-0.95,-0.02,-0.68,23.3,0
-0.9,0.17,-0.49,23.3,0
-0.8,0.33,-0.66,23.3,0
-0.61,0.26,-0.57,23.1,0
-0.67,0.24,-0.42,23.3,0
-0.66,0.27,-0.37,23.1,0
-0.71,0.18,-0.68,23.3,0
-0.63,0.26,-0.73,23.3,0
-0.71,0.25,-0.51,23.1,0
-0.6,0.29,-0.57,23.3,0
-0.59,0.22,-0.75,23.3,0
-0.51,0.2,-0.6,23.3,0
-0.56,0.24,-0.46,23.1,0
-0.57,0.19,-0.75,23.1,0
-0.62,0.11,-0.86,23.3,0
-0.63,0.14,-0.64,23.3,0
-0.51,0.2,-0.49,23.3,0
-0.36,0.21,-0.47,23.3,0
-0.16,0.31,-0.79,23.1,0
-0.42,0.12,-0.99,23.3,0
-0.61,-0.15,-0.83,23.1,0
-0.88,-0.44,-0.74,23.3,0
-1.04,-0.85,-0.59,23.3,0
-0.95,-0.4,-0.74,23.3,0
-0.89,-0.23,-1.08,23.3,0
-1.13,-0.28,-0.62,23.3,0
-1.33,-0.21,-0.72,23.3,0
-0.92,-0.17,-0.33,23.3,0
-0.77,0.07,-0.35,23.1,0
-0.03,-0.17,0.29,23.3,0
-0.43,-0.09,0.5,23.3,0
-0.14,-0.08,1.26,23.3,0
-0.67,-0.82,0.75,23.3,0
-1.23,-0.29,0.66,23.3,0
-1,0.11,0.68,23.3,0
0.18,0.42,1.83,23.3,0
-0.85,-0.23,0.54,23.3,0
-1.2,-0.47,0.39,23.3,0
-0.05,0.18,1.49,23.3,0
-0.5,0.08,1.09,23.1,0
