File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:02:49 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
---------------------------------------------------------,,,,
-0.09,0.83,-0.43,30.6,1.014
-0.12,0.83,-0.5,30.6,1.014
-0.15,0.81,-0.49,30.6,1.018
-0.19,0.86,-0.51,30.8,1.012
-0.22,0.81,-0.48,30.6,1.014
-0.26,0.79,-0.41,30.6,1.012
-0.34,0.82,-0.37,30.6,1.014
-0.37,0.84,-0.4,30.6,1.012
-0.37,0.85,-0.45,30.6,1.018
-0.42,0.82,-0.46,30.6,1.014
-0.46,0.7,-0.32,30.8,1.014
-0.5,0.57,-0.1,30.6,1.014
-0.38,0.8,-0.38,30.6,1.018
-0.39,0.85,-0.31,30.6,1.018
-0.47,0.8,-0.19,30.6,1.018
-0.43,0.85,-0.13,30.6,1.02
-0.42,0.89,-0.15,30.6,1.024
-0.3,1.39,-0.66,30.6,1.027
-0.42,0.89,-0.08,30.8,1.027
-0.58,0.83,-0.16,30.8,1.027
-0.57,0.58,0,30.6,1.03
-0.61,0.55,0.06,30.8,1.034
-0.64,0.29,0.31,30.6,1.03
-0.53,0.62,-0.26,30.8,1.034
-0.53,1.01,-0.21,30.6,1.034
-0.66,0.93,-0.18,30.6,1.03
-0.67,0.86,-0.08,30.6,1.043
-0.63,0.77,-0.1,30.6,1.037
-0.78,1,-0.08,30.8,1.04
-0.66,1.12,-0.14,30.8,1.04
-0.45,1.04,-0.01,30.8,1.04
-0.25,0.99,-0.07,30.6,1.04
-0.11,0.63,-0.27,30.6,1.043
-0.35,0.29,0.44,30.8,1.04
-0.62,0.36,0.74,30.8,1.043
-0.64,0.31,0.87,30.6,1.043
-0.29,1.83,-0.28,30.6,1.04
-0.74,1.43,0.11,30.8,1.043
-0.68,0.73,0.45,30.6,1.043
-0.49,0.26,0.69,30.6,1.046
-0.36,0.83,0.99,30.6,1.052
-0.37,1.43,1.17,30.6,1.049
-0.54,0.57,1.27,30.8,1.052
-0.57,0.59,0.82,30.6,1.052
-0.58,0.22,0.79,30.6,1.049
-0.56,-0.25,0.61,30.6,1.052
-0.52,-0.22,0.67,30.8,1.049
-0.48,1.18,0.81,30.8,1.049
-0.32,1.82,0.67,30.6,1.052
-0.39,0.9,0.74,30.8,1.046
-0.33,0.49,0.32,30.6,1.043
-0.17,1.18,-0.09,30.6,1.04
-0.16,1.36,-0.45,30.8,1.034
-0.25,0.63,-0.14,30.6,1.03
-0.21,0.47,-0.03,30.8,1.03
-0.08,1,-0.75,30.6,1.034
-0.17,0.83,-0.56,30.6,1.03
-0.17,0.73,-0.3,30.8,1.027
-0.18,0.81,-0.38,30.6,1.027
-0.17,0.82,-0.37,30.8,1.024
-0.13,1.21,-0.33,30.8,1.027
-0.11,1.21,-0.26,30.8,1.027
