 timestamp, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0,0.475342,0.079567,-0.876196,-0.838558,0.162463,-0.520026,-0.255,0.172,31.5,8.6,157.4,-0.032,0.145,-0.034,3.18,2.71,0,0,0,0,0.1,0,0,0,1.19,0,0,0,0,0.35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,0.397002,0.071428,-0.915034,-0.815735,0.108562,-0.568146,-0.275,0.121,31.6,7.8,158.5,-0.013,0.136,-0.037,3.54,2.87,0,0,0,0,0.21,0,0.08,0,1.39,0.09,0,0,0.16,0.47,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.067,0.400652,0.074618,-0.913187,-0.742155,0.054526,-0.668007,-0.213,0.081,31.5,7.3,159.7,-0.017,0.126,-0.032,3.74,2.95,0,0,0,0.09,0.36,0,0.17,0.06,1.37,0.16,0,0,0.39,0.67,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.1,0.428255,0.114735,-0.896344,-0.738107,0.102775,-0.66681,-0.196,0.138,31.4,8.3,160.7,0.052,0.127,-0.04,3.83,3.06,0,0.06,0,0.18,0.53,0,0.28,0.24,1.07,0.25,0,0,0.7,0.78,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.133,0.463594,0.136133,-0.875528,-0.692621,0.14589,-0.706394,-0.144,0.176,31,9.2,160,0.096,0.13,-0.047,3.72,3.23,0,0.1,0,0.41,0.69,0,0.3,0.51,0.62,0.19,0,0,1.13,0.86,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0.167,0.624606,0.165637,-0.763172,-0.814141,0.213437,-0.540017,-0.144,0.283,30.1,10.1,159.9,0.129,0.137,-0.05,3.29,3.18,0,0.1,0,0.43,0.68,0,0.25,0.65,0.36,0.12,0,0,1.57,0.84,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0.2,0.644845,0.166876,-0.745874,-0.851872,0.217526,-0.476442,-0.168,0.305,29.9,11.4,160,0.144,0.146,-0.058,2.3,2.54,0,0.04,0,0.35,0.78,0,0.13,0.47,0.22,0.12,0,0,1.26,0.68,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0.233,0.739332,-0.000465,-0.673341,-0.832176,0.07024,-0.550045,-0.076,0.057,32.7,9.8,159.7,0.009,0.144,-0.054,1.45,1.92,0,0.02,0,0.24,0.92,0,0.03,0.2,0.14,0.28,0,0,0.72,0.55,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
0.267,0.869215,-0.053995,-0.491477,-0.880929,0.114784,-0.459117,-0.012,0.064,32.6,9.3,157.5,0.001,0.153,-0.067,0.8,1.23,0,0.05,0,0.25,1.1,0,0,0,0.03,0.4,0,0,0.06,0.39,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.3,0.884858,-0.090473,-0.456991,-0.876269,0.043638,-0.479841,0.009,-0.05,33.3,9.8,157.8,-0.012,0.141,-0.074,0.73,1.1,0,0.1,0,0.27,1.05,0,0,0,0,0.39,0,0,0,0.35,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.333,0.904742,-0.106772,-0.412361,-0.873884,0.052291,-0.483315,0.034,-0.061,33.6,10.5,157.1,0.001,0.149,-0.084,0.69,0.97,0,0.13,0,0.14,0.91,0,0,0,0,0.29,0,0,0,0.48,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.367,0.951226,-0.112576,-0.28722,-0.915441,0.107255,-0.387898,0.053,-0.008,34.3,11.3,156.6,0.04,0.153,-0.101,0.76,0.97,0,0.1,0,0.2,0.65,0,0,0,0.01,0.32,0,0,0.47,0.74,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
0.4,0.964783,0.014005,-0.262674,-0.885107,0.150923,-0.440236,0.113,0.23,34.5,14.2,156.9,0.165,0.132,-0.116,0.81,0.86,0,0.05,0,0.34,0.44,0,0,0,0.15,0.23,0,0.03,1.02,0.94,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.433,0.803105,0.055502,-0.593247,-0.878035,0.110379,-0.465693,-0.071,0.155,33.7,13.9,156.7,0.136,0.135,-0.104,0.85,0.86,0,0.15,0,0.56,0.27,0,0,0,0.3,0.26,0,0.03,1.49,0.92,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.467,0.590378,0.034637,-0.806383,-0.812343,0.070616,-0.578889,-0.159,0.076,33.8,13.9,157.7,0.134,0.127,-0.103,1.04,1.08,0,0.29,0,0.41,0.26,0,0,0,0.42,0.1,0,0.03,1.2,0.6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5,0.950537,-0.067552,-0.303178,-0.911176,0.068376,-0.406303,0.055,0.001,32.8,12.4,157.7,0.071,0.151,-0.092,1.15,1.11,0,0.44,0,0.28,0.27,0,0,0,0.36,0.1,0,0,0.76,0.31,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.533,0.922023,-0.081845,-0.378385,-0.898697,0.040665,-0.436681,0.029,-0.05,32.9,11.9,158.2,0.056,0.149,-0.085,1.25,1.04,0,0.36,0,0.14,0.33,0,0,0,0.21,0,0,0,0.34,0.06,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.567,0.764351,-0.091065,-0.638338,-0.858148,0.023189,-0.512879,-0.081,-0.059,33,11.5,158.5,0.034,0.144,-0.08,1.24,0.97,0,0.26,0,0.19,0.43,0,0,0,0.1,0,0,0,0.38,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.6,0.598517,-0.070075,-0.798039,-0.810121,0.019601,-0.585935,-0.152,-0.036,33.9,11.9,159.7,0.057,0.14,-0.083,1.3,1.07,0,0.18,0,0.36,0.5,0,0,0,0.11,0,0,0,0.63,0.08,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.633,0.520992,-0.004626,-0.853549,-0.768913,0.017483,-0.639115,-0.165,0.009,34,12.5,159.7,0.092,0.145,-0.09,1.32,1.2,0,0.23,0,0.48,0.51,0,0,0,0.18,0,0,0,0.95,0.08,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
