timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,0.149268,0.065147,-0.986648,-0.575903,0.203297,-0.791837,-0.235,0.15,29.6,19.6,161.3,-0.013,0.16,-0.092,0,0,0,0,0.65,0.93,0,0.4,0.57,1.03,0,1.04,0.6,1.11,0.86,0,0.19,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
0.033,0.170391,0.076703,-0.982387,-0.616193,0.194276,-0.763258,-0.25,0.154,29.9,19.5,161.1,-0.009,0.158,-0.095,0.02,0,0,0,0.63,0.71,0,0.34,0.45,0.92,0,1.01,0.74,1.22,1.01,0,0.11,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
0.067,0.183515,0.074604,-0.980182,-0.744226,0.167511,-0.646581,-0.332,0.148,29.4,19.5,158.2,0.008,0.168,-0.101,0.06,0,0,0,0.62,0.71,0,0.34,0.34,0.8,0,1.04,0.76,1.4,1.06,0,0.33,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
0.1,0.21914,0.154598,-0.963368,-0.769828,0.164512,-0.616686,-0.335,0.199,29.5,19.9,158.2,0.027,0.17,-0.106,0.17,0,0,0,0.66,1.14,0,0.32,0.23,0.84,0,0.93,0.78,1.36,0.98,0,0.98,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1
0.133,0.26202,0.296013,-0.918544,-0.765344,0.250128,-0.59303,-0.321,0.347,30,20.5,160,0.017,0.167,-0.107,0.47,0,0,0,0.71,1.44,0,0.26,0.24,0.86,0,0.81,0.74,0.96,0.95,0,1.86,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
0.167,0.239227,0.292871,-0.925741,-0.70315,0.315904,-0.637012,-0.289,0.371,30.7,21.2,163.8,-0.001,0.156,-0.108,0.75,0,0,0,0.73,1.53,0,0.21,0.3,0.86,0,0.66,0.8,0.49,1,0,2.58,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.2,0.217851,0.302638,-0.927874,-0.654611,0.372698,-0.657708,-0.269,0.403,30.9,21.4,164.9,0.003,0.156,-0.109,0.95,0,0,0,0.72,1.44,0,0.16,0.32,0.85,0,0.62,0.7,0.24,1.16,0,2.78,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.233,0.207049,0.302587,-0.930361,-0.64366,0.367334,-0.671392,-0.266,0.396,30.9,21.3,164.8,-0.001,0.156,-0.109,0.95,0,0,0,0.73,1.39,0,0.21,0.28,0.9,0,0.62,0.73,0.21,1.2,0,2.75,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.267,0.212342,0.300718,-0.929774,-0.660387,0.3676,-0.654797,-0.276,0.399,30.9,21.3,164.7,-0.003,0.156,-0.109,0.97,0,0,0,0.76,1.39,0,0.19,0.25,0.9,0,0.66,0.66,0.24,1.3,0,2.68,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.3,0.227042,0.302759,-0.925629,-0.685534,0.341223,-0.643126,-0.284,0.39,30.6,21.2,164.1,0.006,0.155,-0.109,0.98,0,0,0,0.79,1.41,0,0.2,0.25,0.92,0,0.63,0.65,0.24,1.32,0,2.61,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.333,0.222331,0.302053,-0.927002,-0.679626,0.358414,-0.640037,-0.284,0.399,30.6,21.2,164.1,0,0.156,-0.109,0.95,0,0,0,0.74,1.36,0,0.1,0.25,0.89,0,0.63,0.62,0.27,1.38,0,2.6,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.367,0.216417,0.305988,-0.927111,-0.676591,0.367491,-0.638103,-0.286,0.406,30.6,21.2,164.3,0,0.155,-0.109,0.93,0,0,0,0.7,1.39,0,0.11,0.26,0.94,0,0.49,0.53,0.24,1.34,0,2.6,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.4,0.215671,0.30344,-0.928122,-0.678292,0.361217,-0.639877,-0.287,0.401,30.5,21.2,164.1,-0.001,0.157,-0.11,0.91,0,0,0,0.64,1.34,0,0.11,0.21,0.89,0,0.49,0.48,0.23,1.39,0,2.63,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.433,0.22674,0.30498,-0.924974,-0.675683,0.351653,-0.647914,-0.278,0.395,30.6,21.2,164.1,0.006,0.157,-0.11,0.9,0,0,0,0.66,1.42,0,0.2,0.19,0.82,0,0.52,0.44,0.19,1.34,0,2.55,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.467,0.213273,0.308562,-0.926987,-0.662466,0.380326,-0.645361,-0.278,0.413,30.9,21.2,164,0.003,0.16,-0.115,0.86,0,0,0,0.62,1.38,0,0.31,0.16,0.73,0,0.66,0.52,0.21,1.34,0,2.49,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.5,0.213323,0.306485,-0.927664,-0.665846,0.375276,-0.644839,-0.28,0.409,30.9,21.2,163.8,0.004,0.158,-0.114,0.86,0,0,0,0.59,1.37,0,0.29,0.16,0.66,0,0.72,0.52,0.2,1.23,0,2.41,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.533,0.237442,0.300157,-0.923865,-0.69411,0.329609,-0.639976,-0.284,0.383,30.7,21.2,163.4,0.006,0.156,-0.113,0.87,0,0,0,0.6,1.27,0,0.27,0.16,0.65,0,0.72,0.56,0.23,1.23,0,2.47,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0.567,0.239867,0.301576,-0.922776,-0.682513,0.359426,-0.636388,-0.277,0.401,30.6,21,163.3,-0.002,0.158,-0.112,0.86,0,0,0,0.59,1.28,0,0.18,0.14,0.59,0,0.74,0.55,0.26,1.17,0,2.41,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
0.6,0.224038,0.304427,-0.925814,-0.66681,0.371055,-0.646283,-0.275,0.406,30.7,21,162.8,0.002,0.16,-0.116,0.88,0,0,0,0.59,1.29,0,0.19,0.14,0.58,0,0.72,0.59,0.29,1.19,0,2.43,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
0.633,0.235196,0.301931,-0.923862,-0.68112,0.364412,-0.635042,-0.279,0.404,30.7,20.9,162.6,0.003,0.16,-0.117,0.92,0,0,0,0.56,1.3,0,0.16,0.16,0.56,0,0.73,0.57,0.27,1.16,0,2.32,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
0.667,0.231552,0.304115,-0.924066,-0.67776,0.393951,-0.620842,-0.281,0.424,31,20.9,163,-0.002,0.161,-0.119,0.99,0,0,0,0.57,1.28,0,0.15,0.18,0.61,0,0.7,0.54,0.21,1.21,0,2.33,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
0.7,0.243236,0.307992,-0.91977,-0.673697,0.396687,-0.623515,-0.272,0.428,31.1,20.8,162.7,0.001,0.157,-0.121,1.06,0,0,0,0.63,1.3,0,0.23,0.26,0.73,0,0.64,0.56,0.16,1.19,0,2.28,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
0.733,0.252321,0.308372,-0.917192,-0.647778,0.389345,-0.654824,-0.246,0.418,31.6,20.9,162.2,0.018,0.155,-0.129,1.1,0,0,0,0.68,1.37,0,0.26,0.31,0.7,0,0.52,0.52,0.09,1.25,0,2.2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
