 timestamp, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0,0.678644,0.157222,-0.717442,-0.442284,0.367658,-0.818055,0.153,0.329,33.8,2,160.3,-0.036,0.111,-0.054,1.03,0,1.26,0,0.93,2.24,0,1.64,1.76,1.33,0,0.17,0,0,1.65,0.98,1.58,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
0.033,0.693116,0.184334,-0.696858,-0.445669,0.391551,-0.805026,0.163,0.366,33.3,1.8,161.1,-0.015,0.106,-0.067,0.79,0,1.48,0,1.08,2.43,0,1.64,1.92,1.44,0,0.48,0,0,1.54,1.02,1.65,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
0.067,0.64665,0.21515,-0.731816,-0.461151,0.395373,-0.794368,0.121,0.381,32.8,1.9,161.1,-0.007,0.11,-0.075,0.67,0,1.52,0,1.17,2.56,0,1.53,1.98,1.39,0,0.52,0,0,1.38,1.15,1.84,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
0.1,0.434678,0.233697,-0.869736,-0.46181,0.363353,-0.809139,-0.016,0.342,33.5,2.1,162.1,-0.009,0.114,-0.085,0.71,0,1.43,0,1.28,2.56,0,1.41,1.97,1.39,0,0.48,0,0,1.23,1.24,2.13,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
0.133,0.433702,0.205731,-0.877255,-0.484699,0.354521,-0.799613,-0.03,0.322,34.6,2.2,161.7,-0.016,0.118,-0.095,0.73,0,1.48,0,1.32,2.7,0,1.35,1.87,1.39,0,0.53,0,0,1.09,1.26,2.18,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
0.167,0.613054,0.161286,-0.773403,-0.501578,0.378172,-0.778078,0.072,0.335,34.8,2.5,160,0.006,0.129,-0.103,0.57,0,1.52,0,1.37,2.65,0,1.48,1.85,1.49,0,0.7,0,0,0.81,1.09,1.72,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
0.2,0.720927,0.154374,-0.675598,-0.50792,0.386048,-0.770055,0.146,0.358,34.5,2.3,159.4,0.022,0.142,-0.111,0.31,0,1.43,0,1.35,2.53,0,1.45,1.74,1.49,0,0.78,0,0.11,0.48,0.8,1.01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
0.233,0.666437,0.251693,-0.701792,-0.525271,0.372987,-0.764834,0.096,0.403,34.3,2.2,158.3,0.048,0.156,-0.115,0.06,0,1.07,0,1.33,2.15,0,1.54,1.77,1.35,0,0.82,0,0.34,0.33,0.74,0.36,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
0.267,0.730009,0.180631,-0.659135,-0.531277,0.36914,-0.762549,0.139,0.369,34.5,1.3,159.6,0.026,0.142,-0.098,0,0.05,0.74,0,1.26,1.86,0,1.51,1.74,1.25,0,0.74,0,0.67,0.31,0.72,0.11,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
0.3,0.695964,0.186277,-0.693495,-0.534533,0.373606,-0.758085,0.111,0.368,34.3,1.5,159.3,0.025,0.141,-0.09,0,0.05,0.57,0,1.27,1.62,0,1.66,1.83,1.24,0,0.61,0,0.94,0.45,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0
