 timestamp, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0,0.817578,0.04811,-0.573805,-0.488049,0.350432,-0.799378,0.236,0.282,39.4,7.6,165.4,0.03,0.147,-0.134,0.3,0,1.31,0,1.26,3.43,0,2.15,1.62,2.52,0,0.74,0,0,0.2,0.21,1.15,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
0.033,0.80243,0.051287,-0.594538,-0.486723,0.360408,-0.795743,0.223,0.288,39.4,7.7,165.4,0.033,0.147,-0.135,0.38,0,1.27,0,1.29,3.56,0,2.18,1.64,2.52,0,0.77,0,0,0.17,0.16,1.14,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.066,0.818942,0.035799,-0.572758,-0.492024,0.377963,-0.784255,0.236,0.296,39.7,7.6,166,0.038,0.145,-0.135,0.38,0,1.37,0,1.3,3.57,0,2.26,1.62,2.53,0,0.69,0,0,0.19,0.2,1.2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
0.1,0.883964,0.028618,-0.466679,-0.501818,0.390008,-0.772057,0.299,0.326,38.4,7.4,166,0.046,0.142,-0.13,0.53,0,1.52,0,1.35,3.45,0,2.36,1.66,2.67,0,0.64,0,0,0.14,0.14,1.27,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
0.133,0.875487,0.06607,-0.478704,-0.523926,0.410327,-0.746414,0.279,0.371,37,7,166.7,0.05,0.143,-0.138,0.56,0,1.63,0,1.44,3.31,0,2.48,1.72,2.71,0,0.58,0,0,0.07,0.12,1.28,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
0.166,0.873361,0.07586,-0.481129,-0.523825,0.373857,-0.765401,0.273,0.346,36.9,6.9,166.1,0.063,0.146,-0.144,0.63,0,1.67,0,1.48,3.17,0,2.55,1.74,2.75,0,0.57,0,0,0.04,0.07,1.25,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
0.2,0.861814,0.083516,-0.500301,-0.536852,0.332979,-0.775187,0.249,0.316,36.2,7.1,165.9,0.073,0.148,-0.143,0.59,0,1.75,0,1.49,3.14,0,2.56,1.71,2.77,0,0.59,0,0,0.07,0.1,1.33,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
0.233,0.878485,0.060305,-0.473948,-0.571482,0.308611,-0.760374,0.244,0.29,36.7,7.1,164.8,0.055,0.153,-0.149,0.45,0,1.69,0,1.43,3.15,0,2.5,1.65,2.75,0,0.66,0,0,0.07,0.09,1.34,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
0.266,0.900485,-0.01485,-0.434633,-0.542328,0.303488,-0.783438,0.286,0.233,40.1,7.6,164.3,0.03,0.161,-0.154,0.44,0,1.72,0,1.39,3.31,0,2.41,1.61,2.82,0,0.71,0,0,0.12,0.04,1.26,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
0.3,0.909063,-0.029366,-0.415622,-0.576979,0.282529,-0.766337,0.274,0.211,40.1,7.7,163.6,0.027,0.168,-0.154,0.39,0,1.59,0,1.35,3.29,0,2.27,1.6,2.66,0,0.68,0,0,0.11,0.05,1.13,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
0.333,0.89527,-0.024722,-0.444838,-0.57332,0.262283,-0.776216,0.258,0.192,40.3,8,163.5,0.023,0.169,-0.148,0.52,0,1.49,0,1.34,3.32,0,2.17,1.56,2.5,0,0.56,0,0,0.17,0.09,1.13,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.366,0.921575,-0.025202,-0.387381,-0.593459,0.256391,-0.762935,0.278,0.198,39.4,8.2,163.8,0.049,0.164,-0.149,0.54,0,1.33,0,1.33,3.37,0,2.14,1.55,2.47,0,0.43,0,0,0.17,0.18,1.19,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.4,0.872729,0.038474,-0.486687,-0.551223,0.299668,-0.778686,0.249,0.261,38.3,8,164.3,0.046,0.154,-0.147,0.54,0,1.24,0,1.24,3.47,0,2.17,1.53,2.55,0,0.31,0,0,0.21,0.24,1.27,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.433,0.856987,0.032959,-0.514283,-0.515714,0.34666,-0.783496,0.257,0.285,38.6,7.9,166,0.035,0.147,-0.144,0.49,0,1.31,0,1.17,3.41,0,2.23,1.55,2.73,0,0.24,0,0,0.24,0.27,1.26,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.466,0.884562,0.036587,-0.464985,-0.511389,0.327355,-0.794556,0.288,0.281,37.8,7.9,165.7,0.04,0.151,-0.144,0.46,0,1.37,0,1.17,3.23,0,2.41,1.63,2.59,0,0.21,0,0,0.25,0.41,1.26,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.5,0.875773,0.044543,-0.480664,-0.518385,0.35506,-0.777952,0.277,0.307,37.2,7.9,165.8,0.052,0.147,-0.145,0.51,0,1.38,0,1.16,3.12,0,2.49,1.57,2.34,0,0.22,0,0,0.27,0.44,1.17,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.533,0.897014,0.007934,-0.441931,-0.612598,0.226215,-0.757331,0.233,0.193,36.8,8.2,163.2,0.072,0.16,-0.154,0.36,0,1.3,0,1.19,3.09,0,2.53,1.51,2.22,0,0.24,0,0,0.23,0.36,1.18,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.566,0.892826,0.018056,-0.450039,-0.549817,0.410271,-0.727584,0.283,0.349,39.1,7.7,163.6,0.042,0.158,-0.156,0.21,0,1.21,0,1.15,3.12,0,2.5,1.41,2.26,0,0.28,0,0,0.22,0.17,1.15,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.6,0.864544,0.026411,-0.501863,-0.53644,0.404763,-0.74054,0.258,0.334,39,7.7,163.5,0.036,0.16,-0.157,0,0,1.09,0,1.2,3.32,0,2.37,1.37,2.34,0,0.33,0,0.02,0.24,0.04,1.06,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.633,0.783055,0.072825,-0.617674,-0.55507,0.342549,-0.757996,0.164,0.293,39.6,7.8,161.6,0.046,0.171,-0.156,0.16,0,0.96,0,1.2,3.37,0,2.15,1.29,2.24,0,0.3,0,0.2,0.36,0.12,0.92,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.666,0.732727,0.032198,-0.67976,-0.680314,0.262802,-0.684184,0.038,0.213,38.8,7.9,159.5,0.051,0.182,-0.151,0.19,0,0.82,0,1.26,3.28,0,1.94,1.23,2.12,0,0.37,0,0.41,0.4,0.16,0.63,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.7,0.783631,0.046389,-0.619492,-0.766316,0.280736,-0.577882,0.014,0.267,38.1,7.4,159.7,0.049,0.175,-0.146,0.26,0,0.86,0,1.23,2.97,0,1.96,1.2,2.06,0,0.33,0,0.44,0.43,0.16,0.34,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.733,0.863007,0.024673,-0.504589,-0.808298,0.292083,-0.511217,0.054,0.302,37.2,6.9,159.3,0.037,0.172,-0.139,0.09,0,0.96,0,1.23,2.71,0,2.05,1.25,2.13,0,0.42,0,0.34,0.31,0.09,0.09,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.766,0.868553,0.032805,-0.49451,-0.793128,0.341175,-0.504527,0.075,0.358,37.1,6.7,159,0.04,0.171,-0.138,0.12,0,1.07,0,1.16,2.49,0,2.12,1.25,2.2,0,0.42,0,0.2,0.24,0.04,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.8,0.882088,0.020465,-0.47064,-0.807952,0.329159,-0.488742,0.077,0.349,36.7,6.5,159,0.034,0.171,-0.139,0.06,0,1.04,0,1.17,2.3,0,2.16,1.33,2.24,0,0.46,0,0.14,0.14,0.11,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.833,0.84822,0.023929,-0.529103,-0.801483,0.3698,-0.469971,0.047,0.375,37,6.5,159.5,0.034,0.171,-0.14,0.06,0,0.93,0,1.15,2.18,0,2.2,1.38,2.22,0,0.47,0,0.07,0.13,0.09,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.866,0.847444,0.027744,-0.530159,-0.831311,0.339452,-0.440107,0.017,0.362,36.8,6.5,158.8,0.029,0.175,-0.142,0,0,0.83,0.11,1.16,2.23,0,2.21,1.41,2.22,0,0.46,0,0.01,0.15,0.07,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.9,0.846544,0.029125,-0.531522,-0.836211,0.335453,-0.433846,0.011,0.361,36.8,6.5,158.4,0.033,0.179,-0.143,0,0,0.81,0.17,1.15,2.22,0,2.17,1.38,2.16,0,0.51,0,0.02,0.13,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.933,0.828304,0.026726,-0.559641,-0.839368,0.346437,-0.41886,-0.011,0.364,37.5,6.3,158.6,0.026,0.178,-0.143,0,0,0.84,0.24,1.14,2.15,0,2.14,1.36,2.17,0,0.54,0,0.02,0.09,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.966,0.809118,0.013048,-0.587501,-0.834783,0.335179,-0.436799,-0.025,0.328,37.9,6.3,159.3,0.035,0.178,-0.146,0,0,0.94,0.13,1.13,2.14,0,2.11,1.32,2.2,0,0.59,0,0.01,0.09,0.03,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
1,0.832935,0.022816,-0.5529,-0.830253,0.340542,-0.441261,0.003,0.35,37.4,6.3,159.2,0.04,0.177,-0.146,0,0,0.89,0.07,1.08,2.1,0,2.13,1.31,2.21,0,0.57,0,0,0.09,0.04,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
