 timestamp, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.067,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.167,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.233,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.267,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.333,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.367,0,0,0,0,0,0,0,0,-18687072,-12442630,27560346,-0.494,0.459,-0.014,0.14,0,0.57,0,0.32,1.14,0,0,0.14,0.44,0,0.12,0,0.27,0.7,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.884473,0.207093,-0.418114,-0.838157,0.316334,-0.444327,0.054,0.545,25.3,-0.8,153.4,0.143,0.137,-0.045,0.14,0,1.2,0,0.76,2.18,0,0,0.24,0.75,0,0.14,0,0.59,1.26,1.68,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0
0.433,0.841091,0.266662,-0.470592,-0.850831,0.297177,-0.433327,-0.011,0.558,23.3,-0.6,151.8,0.16,0.157,-0.031,0.14,0,1.87,0,1.17,3.17,0,0,0.36,1.06,0,0.15,0,0.99,1.87,2.48,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.467,0.806366,0.308051,-0.504856,-0.857706,0.246274,-0.45132,-0.054,0.525,23,-0.5,150.1,0.194,0.16,-0.037,0.13,0,1.95,0,1.38,3.09,0,0,0.4,1.09,0,0.03,0,1.13,1.64,2.35,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.5,0.617544,0.379056,-0.689171,-0.872793,0.22504,-0.433116,-0.224,0.494,23.2,-0.5,149.6,0.188,0.16,-0.039,0.13,0,1.85,0,1.46,3.1,0,0,0.48,1.19,0,0.01,0,1.11,1.51,2.21,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.533,0.727869,0.287913,-0.622345,-0.855637,0.354689,-0.376937,-0.127,0.571,25,-1,152.1,0.163,0.157,-0.052,0.13,0,1.91,0,1.58,3.13,0.09,0,0.58,1.26,0,0,0,0.8,1.26,2.16,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.567,0.578545,0.474808,-0.663206,-0.774673,0.418266,-0.474274,-0.171,0.666,21,-0.7,150.5,0.231,0.177,-0.051,0,0,1.95,0,1.65,3.1,0.2,0,0.66,1.26,0,0,0,0.5,1.12,2.04,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.6,0.592196,0.466201,-0.657237,-0.778625,0.399161,-0.484163,-0.162,0.649,20.7,-1.1,149.4,0.214,0.173,-0.048,0.02,0,2.04,0,1.59,3.15,0.2,0,0.75,1.43,0,0,0,0.41,1.01,2.08,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.633,0.676269,0.396232,-0.621016,-0.841771,0.375294,-0.38804,-0.163,0.653,22.4,-1.5,149.6,0.199,0.167,-0.066,0.12,0,1.89,0,1.46,3.12,0.11,0,0.81,1.58,0,0,0,0.63,1.03,2.03,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
0.667,0.72407,0.312911,-0.614662,-0.848528,0.339203,-0.406129,-0.121,0.568,25.2,-1.7,151.3,0.142,0.162,-0.069,0.13,0,1.7,0,1.19,3.15,0,0,0.75,1.62,0,0.04,0,0.78,1.14,2.14,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
0.7,0.829289,0.311002,-0.464281,-0.854784,0.350823,-0.382449,-0.03,0.663,25.5,-1.5,152.7,0.172,0.159,-0.074,0.11,0,1.66,0.1,1.15,3.11,0,0,0.69,1.57,0,0.04,0,1.02,1.34,2.08,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
0.733,0.50046,0.289012,-0.816095,-0.809555,0.241925,-0.534876,-0.225,0.374,25.9,-0.7,150.9,0.182,0.168,-0.085,0.01,0,1.72,0.25,1.24,3.33,0,0,0.65,1.57,0,0.04,0,1.15,1.46,2.09,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
0.767,0.415838,0.31479,-0.853221,-0.794802,0.254616,-0.550872,-0.264,0.385,25.9,-0.6,150.1,0.198,0.172,-0.089,0.03,0,1.7,0.42,1.36,3.37,0,0,0.66,1.57,0,0.05,0,1.25,1.59,2.07,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
0.8,0.735532,0.309352,-0.602738,-0.82711,0.228338,-0.513567,-0.082,0.449,26.6,-1,151.4,0.17,0.166,-0.086,0.03,0,1.7,0.35,1.38,3.4,0,0,0.67,1.58,0,0.11,0,1.02,1.57,2.1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
0.833,0.564176,0.327826,-0.757783,-0.826993,0.333761,-0.452423,-0.214,0.5,26.4,-0.7,153.1,0.185,0.16,-0.088,0.03,0,1.72,0.27,1.32,3.24,0,0,0.66,1.57,0,0.11,0,0.76,1.55,1.85,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.867,0.616,0.290822,-0.732098,-0.833122,0.341126,-0.435364,-0.184,0.496,26.6,-0.7,152.8,0.178,0.156,-0.09,0,0,1.85,0.1,1.31,3.04,0,0,0.71,1.51,0,0.06,0,0.48,1.44,1.7,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.9,0.606639,0.276349,-0.745399,-0.825531,0.352098,-0.44105,-0.182,0.487,26.9,-0.8,153.3,0.171,0.155,-0.088,0,0,1.82,0.07,1.34,3.05,0.07,0,0.75,1.35,0,0.01,0,0.26,1.41,1.44,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.933,0.617871,0.299104,-0.727167,-0.799362,0.352878,-0.486311,-0.148,0.493,25.2,-0.9,152.5,0.178,0.16,-0.079,0,0,1.62,0,1.43,3.13,0.12,0,0.83,1.17,0,0.01,0,0.08,1.45,1.43,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
0.967,0.610895,0.338522,-0.715689,-0.860218,0.335048,-0.384405,-0.223,0.549,24.2,-0.9,152.2,0.191,0.158,-0.076,0,0,1.58,0,1.46,3.24,0.18,0,0.87,1.11,0,0,0,0.03,1.48,1.27,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
1,0.543221,0.361009,-0.758013,-0.835465,0.34343,-0.429016,-0.241,0.536,25.2,-0.9,151.8,0.201,0.165,-0.093,0,0,1.72,0,1.55,3.23,0.22,0,0.94,1.22,0,0,0,0.12,1.47,1.28,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
1.033,0.482406,0.337344,-0.808383,-0.751983,0.377571,-0.540336,-0.197,0.487,27.4,-0.8,152.3,0.192,0.166,-0.109,0,0,1.97,0,1.61,3.24,0.38,0,0.99,1.34,0,0,0,0.18,1.5,1.3,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
1.067,0.582586,0.320699,-0.746824,-0.83982,0.360132,-0.406211,-0.219,0.533,26.7,-1.4,151.5,0.179,0.169,-0.094,0,0,2.03,0,1.63,3.28,0.5,0,0.97,1.32,0,0,0,0.16,1.58,1.42,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
1.1,0.584557,0.32817,-0.742023,-0.864071,0.380793,-0.329208,-0.255,0.585,26.9,-1.3,152.7,0.191,0.161,-0.091,0,0,1.89,0,1.71,3.27,0.58,0,0.93,1.16,0,0,0,0.07,1.62,1.39,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
1.133,0.516967,0.327365,-0.790934,-0.827433,0.375987,-0.417118,-0.252,0.527,26.6,-1.5,152.6,0.195,0.168,-0.091,0,0,1.8,0,1.68,3.28,0.47,0,0.82,1.08,0,0,0,0.03,1.7,1.42,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
