 timestamp, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0,0.338969,0.210115,-0.917034,-0.357116,0.331277,-0.87334,-0.01,0.294,19.7,-5.3,126.1,-0.049,-0.031,-0.089,0,0,0.42,0,1.18,3.58,1.43,1.29,0.04,0.06,2.88,0.24,0.39,0,0,0,3.69,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.033,0.251719,0.194543,-0.948046,-0.41551,0.385767,-0.823733,-0.092,0.317,18.8,-5.7,123.8,-0.1,-0.01,-0.079,0,0,0.55,0,1.16,3.29,1.5,0.95,0.08,0.06,2.73,0.15,0.16,0,0,0,3.79,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.066,0.227665,0.168237,-0.959096,-0.524412,0.300234,-0.796776,-0.167,0.261,18,-5.3,121.6,-0.115,-0.011,-0.077,0,0,0.55,0,1.03,3.19,1.5,0.74,0.08,0.06,2.72,0.31,0.1,0,0,0,3.68,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.1,0.229125,0.152428,-0.961388,-0.480288,0.305016,-0.822368,-0.14,0.251,17.7,-5.3,121.5,-0.129,-0.024,-0.079,0,0,0.57,0,0.99,3.22,1.44,0.74,0.07,0,2.85,0.37,0,0,0,0,3.64,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.133,0.233209,0.155295,-0.959946,-0.475919,0.35524,-0.804553,-0.137,0.282,18.3,-5.3,122.4,-0.096,-0.032,-0.089,0,0,0.47,0,0.93,3.36,1.32,0.91,0.03,0,2.7,0.24,0,0,0,0,3.47,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.166,0.271053,0.168264,-0.947743,-0.506816,0.331304,-0.795848,-0.134,0.279,18.3,-5.1,120.4,-0.08,-0.018,-0.101,0,0,0.47,0,1.01,3.24,1.3,1.04,0.04,0,2.41,0.07,0,0,0,0,3.46,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.2,0.217607,0.199852,-0.955357,-0.495671,0.362541,-0.789224,-0.158,0.312,17.5,-5.3,120.3,-0.13,-0.016,-0.092,0,0,0.36,0,1.12,3.36,1.29,1.39,0.07,0.02,2.78,0.06,0.07,0,0,0,3.21,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.233,0.103901,0.1629,-0.981157,-0.477483,0.321556,-0.817687,-0.205,0.263,17.1,-5.1,121.2,-0.142,-0.028,-0.085,0,0,0.32,0,1.29,3.47,1.25,1.83,0.15,0.11,3.1,0.23,0.15,0,0,0,3.2,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.266,0.110483,0.145015,-0.983242,-0.460417,0.32044,-0.827849,-0.191,0.252,17.1,-5.3,121.3,-0.163,-0.035,-0.078,0,0,0.27,0,1.34,3.74,1.25,2.06,0.11,0.27,3.56,0.23,0.25,0,0,0,3.11,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.3,0.244279,0.179996,-0.952853,-0.480759,0.343037,-0.806967,-0.134,0.289,17.5,-5.1,121,-0.106,-0.023,-0.097,0,0,0.26,0,1.3,4.04,1.19,2.08,0.14,0.35,3.3,0.31,0.17,0,0,0,3,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.333,0.21149,0.170092,-0.962466,-0.42929,0.352423,-0.831569,-0.121,0.283,18.3,-5.5,122.3,-0.134,-0.03,-0.094,0,0,0.39,0,1.2,4.35,1.37,1.68,0.07,0.54,2.76,0.13,0.12,0,0,0,2.63,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.366,0.302337,0.18877,-0.934323,-0.414015,0.297923,-0.860136,-0.062,0.265,19.5,-6,122.1,-0.083,-0.035,-0.122,0,0,0.28,0,1.13,4.33,1.37,1.32,0.14,0.63,2.41,0.13,0.02,0,0,0,2.54,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.4,0.286358,0.197312,-0.937586,-0.397644,0.368408,-0.84033,-0.063,0.308,19.5,-7.2,122.6,-0.139,-0.031,-0.114,0,0,0.17,0,1.05,3.89,1.39,0.96,0.15,0.79,2.11,0,0.02,0,0,0,2.71,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.433,0.286914,0.202006,-0.936416,-0.404679,0.382139,-0.830786,-0.067,0.319,18.8,-7.4,122.7,-0.129,-0.031,-0.107,0.22,0,0,0,1.1,3.47,0.97,0.9,0.25,0.94,2.36,0,0,0,0,0,3.19,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.466,0.293575,0.237524,-0.925957,-0.352422,0.411482,-0.840525,-0.033,0.352,18.1,-8.1,124.2,-0.144,-0.043,-0.09,0.5,0,0,0,1.07,3.47,0.55,0.93,0.28,0.8,2.79,0,0.05,0,0,0,3.52,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.5,0.268431,0.229855,-0.935474,-0.345854,0.346066,-0.872137,-0.043,0.308,17.3,-7.6,120.2,-0.152,-0.02,-0.084,0.73,0,0,0,1.06,3.61,0.22,1.02,0.35,0.7,3.13,0.13,0.06,0,0,0,3.71,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.533,0.279911,0.24455,-0.928356,-0.244181,0.378148,-0.892961,0.02,0.329,17.4,-7.7,121.1,-0.136,-0.028,-0.084,0.81,0,0,0,1.03,3.56,0.09,1.15,0.48,0.44,3.35,0.13,0.06,0,0,0,3.97,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.566,0.253514,0.237008,-0.937848,-0.252993,0.376946,-0.891014,0,0.324,17.7,-8.5,122.2,-0.16,-0.044,-0.078,1.03,0,0,0,0.95,3.48,0.05,1.42,0.66,0.34,3.23,0.23,0.01,0,0,0,4.07,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.6,0.227934,0.251658,-0.940593,-0.245301,0.365123,-0.898061,-0.009,0.324,17.7,-8.7,121.3,-0.162,-0.03,-0.078,1.46,0,0,0,0.89,3.37,0,1.58,0.85,0.4,2.86,0.1,0,0,0,0,4.18,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
0.633,0.214188,0.260085,-0.94153,-0.250091,0.349948,-0.902769,-0.019,0.319,16.7,-8.1,118.4,-0.145,-0.018,-0.077,1.79,0,0,0,0.74,3.24,0,1.67,0.87,0.23,3.31,0.1,0.11,0,0,0.01,4.28,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
0.666,0.224564,0.26024,-0.939067,-0.263372,0.343921,-0.901306,-0.021,0.317,16.5,-8.3,117.9,-0.143,-0.03,-0.071,2.13,0,0,0,0.73,3.18,0,1.67,0.9,0.22,3.53,0.07,0.11,0,0,0.03,4.08,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
0.7,0.214136,0.249721,-0.944344,-0.276486,0.322911,-0.905143,-0.034,0.3,16.9,-8.9,118.5,-0.165,-0.044,-0.073,2.33,0,0,0,0.67,2.94,0,1.72,0.87,0,4.3,0.07,0.22,0,0,0.1,4.08,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
0.733,0.233664,0.258855,-0.937227,-0.238289,0.402333,-0.883938,-0.003,0.348,17,-9.3,118.9,-0.167,-0.054,-0.071,2.66,0,0,0,0.7,3.08,0,1.83,0.98,0,4.2,0.1,0.2,0,0,0.09,3.91,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
0.766,0.234391,0.260664,-0.936544,-0.219389,0.383095,-0.897278,0.008,0.338,16.9,-9.7,119.4,-0.174,-0.063,-0.072,2.78,0,0,0,0.7,2.8,0,1.73,1.11,0,3.78,0.07,0.2,0,0,0.07,4.19,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
0.8,0.248715,0.244532,-0.9372,-0.257632,0.36053,-0.896462,-0.005,0.319,15.8,-10,116.9,-0.181,-0.043,-0.075,3.01,0,0,0,0.87,2.98,0,1.46,1.28,0,3.44,0.07,0.1,0,0,0,4.34,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0.833,0.178205,0.267089,-0.947051,-0.183847,0.342957,-0.921184,-0.003,0.316,16.4,-10.5,119.9,-0.175,-0.065,-0.074,2.93,0,0,0,0.86,2.77,0,1.2,1.36,0.14,2.66,0.04,0,0,0,0,4.62,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0.866,0.293502,0.24939,-0.922855,-0.275937,0.3411,-0.898615,0.01,0.313,16.4,-10.5,116.5,-0.145,-0.048,-0.089,3.05,0,0,0,0.84,2.7,0,0.85,1.37,0.2,2.17,0,0,0,0,0,4.69,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0.9,0.078797,0.247797,-0.965602,-0.239314,0.305106,-0.921759,-0.085,0.285,15.5,-11.1,117.8,-0.156,-0.054,-0.076,3.21,0,0,0,0.7,2.64,0,0.74,1.35,0.56,1.35,0,0,0,0,0,4.54,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0.933,0.137117,0.200484,-0.970054,-0.225504,0.281383,-0.932723,-0.046,0.248,14.7,-10.9,117.7,-0.176,-0.053,-0.07,3.3,0,0,0,0.67,2.64,0,0.33,1.44,0.42,1.23,0,0,0,0,0,4.35,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0.966,0.127798,0.312535,-0.94127,-0.114545,0.309841,-0.943863,0.007,0.319,17.3,-11.2,120.9,-0.153,-0.08,-0.08,3.3,0,0,0,0.72,2.72,0,0.21,1.34,0.36,1.42,0,0,0,0,0,4.3,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1
1,0.155904,0.301671,-0.940579,-0.132761,0.320415,-0.937928,0.012,0.32,17.3,-11.3,119,-0.125,-0.07,-0.089,3.23,0,0,0,0.63,2.77,0,0.2,1.23,0.01,1.68,0,0,0,0,0,4.38,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1
1.033,0.196523,0.339646,-0.919793,-0.074694,0.364537,-0.928188,0.066,0.364,17.8,-11.5,118.5,-0.113,-0.071,-0.098,3.41,0,0,0,0.68,2.71,0,0.62,1.07,0.38,1.59,0,0,0,0,0,4.64,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
1.066,0.09956,0.337986,-0.935871,-0.197243,0.250901,-0.947704,-0.052,0.303,19.1,-12.4,119.6,-0.121,-0.061,-0.094,3.74,0,0,0,0.73,2.95,0,1.42,1.05,0.48,2.37,0,0,0,0.24,0,4.83,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
1.1,0.052326,0.496994,-0.866175,-0.034872,0.370207,-0.928295,0.01,0.45,19.7,-13.5,124.2,-0.115,-0.063,-0.085,4.19,0,0,0,0.88,2.72,0,1.84,1,0.87,2.35,0,0,0,0.46,0,5,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
1.133,0.12581,0.454659,-0.881735,-0.007471,0.348328,-0.937343,0.065,0.416,20.2,-13.8,126.2,-0.123,-0.064,-0.088,4.7,0,0,0,0.7,2.84,0,1.82,0.97,0.67,2.19,0,0,0,0.65,0,5,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
1.166,0.139757,0.450467,-0.881786,0.076566,0.347867,-0.934412,0.119,0.414,19.9,-13.6,128.1,-0.134,-0.075,-0.079,4.96,0.16,0,0,0.58,2.44,0,1.56,1.02,0.71,1.13,0,0,0,0.72,0,5,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1.2,0.090844,0.586808,-0.804614,0.055576,0.288717,-0.9558,0.083,0.462,21.3,-14.6,132.2,-0.1,-0.079,-0.092,5,0.52,0,0,0.51,2.31,0,1.13,1.12,0.32,0.7,0,0,0,0.83,0,5,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1.233,0.078282,0.471091,-0.878604,-0.129807,0.342299,-0.930581,-0.028,0.423,21.4,-15,133.9,-0.119,-0.036,-0.08,4.87,0.57,0.14,0,0.58,2.14,0,1.01,1.26,0.15,0.52,0,0,0,0.97,0,5,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1.266,0.105889,0.433285,-0.895015,-0.054027,0.407581,-0.91157,0.029,0.436,21.5,-14.1,129.7,-0.15,-0.007,-0.073,4.66,0.63,0.22,0.04,0.54,2.5,0,0.73,1.26,0,0.31,0,0,0,1.01,0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
