 timestamp, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0,0.139092,0.254671,-0.956972,-0.485961,0.385664,-0.784286,-0.197,0.352,56.2,1.6,186.2,0.102,0.135,-0.104,0,0,0,0,0.79,0.39,0.07,1.19,1.32,0.39,0.81,0.94,0.97,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
0.033,0.245019,0.244144,-0.938275,-0.649807,0.409143,-0.640588,-0.251,0.392,56.3,1.3,183.8,0.088,0.151,-0.117,0,0,0,0,0.86,0.54,0.03,1.16,1.32,0.33,0.75,0.97,0.94,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
0.067,0.37976,0.178831,-0.907635,-0.717932,0.433455,-0.544693,-0.229,0.399,56.3,1.1,182.1,0.069,0.162,-0.121,0,0,0,0,0.86,0.64,0.01,1.05,1.28,0.28,0.65,0.93,0.94,0,0,1.07,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
0.1,0.488288,0.126671,-0.86344,-0.712597,0.437342,-0.548578,-0.158,0.38,56.2,1,181,0.065,0.172,-0.126,0,0,0,0,0.77,0.76,0,0.94,1.2,0.18,0.49,0.8,0.92,0.11,0,1.04,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
0.133,0.496554,0.12449,-0.859032,-0.62758,0.438989,-0.642987,-0.087,0.359,55.3,1.3,179.9,0.087,0.181,-0.131,0,0,0,0,0.69,0.76,0,0.81,1.15,0.15,0.31,0.71,0.95,0.17,0,1.07,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.167,0.460702,0.128102,-0.878262,-0.629812,0.425696,-0.649707,-0.11,0.348,55,1.4,181.5,0.096,0.176,-0.132,0,0,0,0,0.67,0.74,0,0.83,1.11,0.1,0.2,0.59,0.89,0.21,0,1.01,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.2,0.356709,0.160915,-0.920253,-0.591685,0.418143,-0.689249,-0.145,0.345,54.9,1.7,183.2,0.111,0.172,-0.134,0,0,0,0,0.71,0.6,0.01,0.85,1.14,0.17,0.19,0.49,0.87,0.11,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.233,0.33833,0.175799,-0.924461,-0.627564,0.436494,-0.644699,-0.182,0.372,54.9,1.5,183.7,0.104,0.168,-0.131,0,0,0,0,0.74,0.65,0.05,0.86,1.15,0.18,0.14,0.4,0.77,0.08,0,0.93,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.267,0.296031,0.211521,-0.931464,-0.547798,0.474879,-0.688772,-0.154,0.401,53.9,1.3,181.4,0.102,0.173,-0.132,0,0,0,0,0.76,0.85,0.13,0.86,1.2,0.28,0.12,0.35,0.72,0.04,0,0.95,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.3,0.253338,0.246998,-0.935314,-0.507856,0.51018,-0.694117,-0.155,0.435,54.3,1.2,182,0.088,0.167,-0.13,0,0,0,0,0.82,1.23,0.27,0.89,1.21,0.33,0.11,0.35,0.73,0.03,0,0.93,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.333,0.23602,0.275363,-0.931917,-0.504269,0.443432,-0.741,-0.159,0.406,56.3,1.6,184.3,0.092,0.163,-0.138,0,0,0,0,0.86,1.39,0.34,0.92,1.3,0.43,0.24,0.42,0.79,0,0,0.86,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0.367,0.415581,0.206047,-0.88591,-0.709903,0.446122,-0.544988,-0.203,0.428,57.9,1.1,182.9,0.05,0.165,-0.138,0,0,0,0,0.87,1.3,0.44,0.85,1.24,0.38,0.25,0.52,0.8,0.09,0,0.65,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0.4,0.654589,0.125322,-0.745525,-0.699952,0.469,-0.538615,-0.035,0.433,57.3,0.8,177.7,0.051,0.184,-0.14,0,0,0,0,0.84,1.09,0.47,0.75,1.18,0.31,0.24,0.6,0.73,0.16,0,0.49,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0.433,0.639789,0.114015,-0.760046,-0.704787,0.457793,-0.541942,-0.05,0.414,57.5,0.8,177.9,0.047,0.181,-0.139,0.03,0,0,0,0.81,0.98,0.56,0.69,1.04,0.14,0.19,0.61,0.65,0.17,0,0.35,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0.467,0.681609,0.096758,-0.725291,-0.725416,0.459409,-0.512558,-0.035,0.422,57,0.9,180,0.053,0.175,-0.136,0.18,0.06,0,0,0.78,1.08,0.52,0.68,0.99,0.07,0.19,0.58,0.63,0.21,0,0.34,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0.5,0.620002,0.110323,-0.776805,-0.667035,0.407193,-0.623906,-0.034,0.354,55.3,1.3,177.2,0.063,0.188,-0.145,0.36,0.06,0,0,0.72,1.16,0.47,0.68,0.94,0.01,0.21,0.48,0.61,0.28,0,0.29,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0.533,0.466042,0.119709,-0.876627,-0.649389,0.345436,-0.677472,-0.117,0.291,57.3,1.6,176.5,0.059,0.197,-0.163,0.5,0.14,0,0,0.71,1.25,0.41,0.69,0.93,0,0.23,0.47,0.56,0.37,0,0.27,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.567,0.409766,0.123667,-0.903769,-0.654097,0.358461,-0.66608,-0.154,0.298,59.4,1.7,177.5,0.069,0.201,-0.174,0.54,0.2,0,0,0.72,1.23,0.41,0.65,0.89,0,0.24,0.44,0.52,0.46,0,0.41,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.6,0.371868,0.152371,-0.915695,-0.582709,0.240413,-0.776307,-0.124,0.228,59.1,2,177.5,0.107,0.21,-0.188,0.52,0.41,0,0,0.78,1.34,0.41,0.64,0.89,0,0.17,0.4,0.46,0.56,0,0.5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.633,0.365872,0.169236,-0.915148,-0.590205,0.219553,-0.776823,-0.132,0.226,58.9,2,178.7,0.11,0.206,-0.189,0.58,0.45,0,0,0.81,1.28,0.33,0.57,0.83,0,0.08,0.27,0.42,0.74,0,0.57,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0.667,0.444874,0.147972,-0.883284,-0.551752,0.265337,-0.790674,-0.064,0.242,58.3,2.1,178.7,0.113,0.206,-0.185,0.6,0.47,0,0,0.83,1.23,0.29,0.57,0.84,0,0.02,0.17,0.42,0.76,0,0.49,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0.7,0.404958,0.156088,-0.900914,-0.577244,0.266774,-0.771765,-0.103,0.248,58.5,2,179.3,0.111,0.206,-0.182,0.7,0.34,0,0,0.84,1.18,0.15,0.54,0.84,0,0,0.13,0.51,0.77,0,0.46,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0.733,0.480197,0.120863,-0.868794,-0.572802,0.307036,-0.760018,-0.057,0.257,57.8,1.8,179,0.097,0.204,-0.173,0.74,0.31,0,0,0.83,1.17,0.1,0.54,0.85,0,0,0.08,0.64,0.72,0,0.35,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0.767,0.552197,0.100939,-0.82758,-0.641601,0.304025,-0.704214,-0.058,0.258,57.2,1.7,178.4,0.078,0.2,-0.165,0.8,0.3,0,0,0.81,1.22,0.01,0.5,0.87,0,0,0.1,0.71,0.75,0,0.24,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0.8,0.534973,0.11615,-0.836847,-0.577428,0.328856,-0.747282,-0.027,0.274,57.1,1.9,178.5,0.09,0.201,-0.167,0.79,0.33,0,0,0.86,1.18,0,0.45,0.9,0,0,0.17,0.79,0.68,0,0.09,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0.833,0.577573,0.106138,-0.80941,-0.587587,0.345423,-0.731727,-0.006,0.285,56.7,1.6,179.8,0.081,0.19,-0.159,0.74,0.37,0,0,0.89,1.12,0,0.46,0.96,0,0,0.27,0.88,0.72,0,0.06,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0.867,0.511393,0.117472,-0.85128,-0.609808,0.314352,-0.727542,-0.062,0.267,55,1.7,179.8,0.074,0.19,-0.145,0.68,0.36,0,0,0.94,1.07,0,0.48,1.03,0,0,0.31,1,0.69,0,0.03,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0.9,0.5579,0.097568,-0.824153,-0.727424,0.313468,-0.610403,-0.118,0.279,54.9,1.4,179.8,0.056,0.185,-0.137,0.67,0.35,0,0.01,0.97,1.12,0,0.57,1.07,0,0.01,0.3,1.03,0.75,0,0.13,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
