 timestamp, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0,0.350834,0.193717,-0.916182,-0.522614,0.329205,-0.786447,-0.101,0.298,48.3,9.2,168.9,-0.04,0.172,-0.04,0,0,0,0,0.98,1.2,0.63,1.17,1.28,1.26,0,0.52,0.72,0,1.61,1.42,1.48,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
0.033,0.309701,0.205752,-0.928306,-0.538426,0.31801,-0.780364,-0.133,0.297,48.7,9.3,169.8,-0.03,0.177,-0.049,0,0,0.02,0,0.92,1.49,0.58,1.15,1.23,1.39,0,0.47,0.64,0.21,1.32,1.27,1.27,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0.067,0.291448,0.207699,-0.933766,-0.523385,0.324753,-0.787784,-0.134,0.3,49.1,9.3,170.2,-0.027,0.182,-0.056,0,0,0.03,0,0.9,1.62,0.58,1.18,1.24,1.44,0,0.42,0.63,0.32,1.18,1.28,1.18,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0.1,0.296359,0.209249,-0.931872,-0.522662,0.328307,-0.78679,-0.131,0.303,49.4,9.4,170.5,-0.023,0.182,-0.058,0,0,0.03,0,0.93,1.71,0.61,1.3,1.28,1.42,0,0.41,0.61,0.36,1.2,1.39,1.1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0.133,0.294753,0.206015,-0.933102,-0.518488,0.323073,-0.791703,-0.129,0.298,49.4,9.3,170.2,-0.029,0.18,-0.056,0,0,0.01,0,0.96,1.68,0.62,1.35,1.33,1.46,0,0.46,0.68,0.38,1.28,1.41,1.12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0.167,0.284141,0.211078,-0.935259,-0.509312,0.322235,-0.797976,-0.129,0.299,49.5,9.3,170.1,-0.027,0.18,-0.058,0,0,0.06,0,0.98,1.72,0.63,1.37,1.35,1.55,0,0.51,0.63,0.38,1.28,1.31,1.07,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0.2,0.276405,0.205635,-0.938784,-0.493464,0.304206,-0.814833,-0.123,0.283,49.7,9.2,170.3,-0.029,0.177,-0.058,0,0,0.1,0,0.97,1.74,0.66,1.33,1.35,1.58,0,0.48,0.71,0.34,1.27,1.22,1.04,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0.233,0.266224,0.208752,-0.941035,-0.484768,0.297912,-0.822343,-0.123,0.28,49.6,9.2,170.3,-0.028,0.176,-0.058,0,0,0.13,0,0.94,1.74,0.66,1.32,1.33,1.57,0,0.48,0.64,0.34,1.22,1.22,1.04,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0.267,0.259496,0.206885,-0.943324,-0.487042,0.298792,-0.820679,-0.128,0.279,49.5,9.2,170.5,-0.026,0.176,-0.057,0,0,0.07,0,0.92,1.61,0.68,1.33,1.28,1.54,0,0.49,0.61,0.37,1.21,1.35,0.96,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0.3,0.27544,0.208729,-0.938384,-0.493294,0.303863,-0.815063,-0.124,0.284,49.3,9.3,170.2,-0.024,0.176,-0.057,0,0,0.03,0,0.92,1.43,0.66,1.37,1.26,1.54,0,0.55,0.51,0.4,1.19,1.44,0.91,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
